timestamp,1INCH,AAVE,ADA,APE,APT,ARB,ATH,ATOM,AVAX,AXS,BAND,BAT,BCH,BICO,BLUR,BNB,BSV,BTC,CELO,CFX,CHZ,COMP,CORE,CRO,CTC,DOGE,DOT,EGLD,ENJ,ENS,EOS,ETC,ETH,ETHW,FIL,FLOKI,FLOW,GAS,GMX,GRT,ICP,ID,IMX,JST,KSM,LINK,LRC,LTC,LUNA,LUNC,MANA,MASK,METIS,MEW,MINA,MKR,NEAR,NEO,ONT,OP,ORDI,POL,PYTH,RON,RVN,SHIB,SNX,SOL,STORJ,STRK,STX,T,THETA,TON,UMA,UNI,WOO,XLM,XRP,XTZ,YFI,ZETA,ZIL,ZK,ZRX
2025-04-06 12:32:57.225581,0,0,0,0,1,0,0,-1,1,1,1,0,0,0,0,-1,0,-1,0,-1,0,0,1,0,0,0,0,1,1,0,0,0,-1,0,0,0,0,0,1,1,-1,0,1,-1,0,0,1,0,1,-1,-1,0,0,0,0,0,1,-1,0,0,0,0,0,1,-1,-1,0,0,-1,0,-1,1,0,1,0,0,0,0,0,-1,0,0,-1,0,0
2025-04-06 12:42:49.765721,0,0,0,0,1,0,0,-1,1,1,1,0,0,0,0,-1,0,-1,0,-1,0,0,1,0,0,0,0,1,1,0,0,0,-1,0,0,0,0,0,1,1,-1,0,1,-1,0,0,1,0,1,-1,-1,0,0,0,0,0,1,-1,0,0,0,0,0,1,-1,-1,0,0,-1,0,-1,1,0,1,0,0,0,0,0,-1,0,0,-1,0,0
2025-04-06 12:52:57.083423,0,0,0,0,1,0,0,-1,1,1,1,0,0,0,0,-1,0,-1,0,-1,0,0,1,0,0,0,0,1,1,0,0,0,-1,0,0,0,0,0,1,1,-1,0,1,-1,0,0,1,0,1,-1,-1,0,0,0,0,0,1,-1,0,0,0,0,0,1,-1,-1,0,0,-1,0,-1,1,0,1,0,0,0,0,0,-1,0,0,-1,0,0
2025-04-06 13:02:54.301555,0,0,0,0,1,0,0,-1,1,1,1,0,0,0,0,-1,0,-1,0,-1,0,0,1,0,0,0,0,1,1,0,0,0,-1,0,0,0,0,0,1,1,-1,0,1,-1,0,0,1,0,1,-1,-1,0,0,0,0,0,1,-1,0,0,0,0,0,1,-1,-1,0,0,-1,0,-1,1,0,1,0,0,0,0,0,-1,0,0,-1,0,0
2025-04-06 13:12:56.341849,0,0,0,0,1,0,0,-1,1,1,1,0,0,0,0,-1,0,-1,0,-1,0,0,1,0,0,0,0,1,1,0,0,0,-1,0,0,0,0,0,1,1,-1,0,1,-1,0,0,1,0,1,-1,-1,0,0,0,0,0,1,-1,0,0,0,0,0,1,-1,-1,0,0,-1,0,-1,1,0,1,0,0,0,0,0,-1,0,0,-1,0,0
2025-04-06 13:22:52.245055,0,0,0,0,1,0,0,-1,1,1,1,0,0,0,0,-1,0,-1,0,-1,0,0,1,0,0,0,0,1,1,0,0,0,-1,0,0,0,0,0,1,1,-1,0,1,-1,0,0,1,0,1,-1,-1,0,0,0,0,0,1,-1,0,0,0,0,0,1,-1,-1,0,0,-1,0,-1,1,0,1,0,0,0,0,0,-1,0,0,-1,0,0
2025-04-06 13:32:48.982892,0,0,0,0,1,0,0,-1,1,1,1,0,0,0,0,-1,0,-1,0,-1,0,0,1,0,0,0,0,1,1,0,0,0,-1,0,0,0,0,0,1,1,-1,0,1,-1,0,0,1,0,1,-1,-1,0,0,0,0,0,1,-1,0,0,0,0,0,1,-1,-1,0,0,-1,0,-1,1,0,1,0,0,0,0,0,-1,0,0,-1,0,0
2025-04-06 13:42:51.855783,0,0,0,0,1,0,0,-1,1,1,1,0,0,0,0,-1,0,-1,0,-1,0,0,1,0,0,0,0,1,1,0,0,0,-1,0,0,0,0,0,1,1,-1,0,1,-1,0,0,1,0,1,-1,-1,0,0,0,0,0,1,-1,0,0,0,0,0,1,-1,-1,0,0,-1,0,-1,1,0,1,0,0,0,0,0,-1,0,0,-1,0,0
2025-04-06 13:52:50.164415,0,0,0,0,1,0,0,-1,1,1,1,0,0,0,0,-1,0,-1,0,-1,0,0,1,0,0,0,0,1,1,0,0,0,-1,0,0,0,0,0,1,1,-1,0,1,-1,0,0,1,0,1,-1,-1,0,0,0,0,0,1,-1,0,0,0,0,0,1,-1,-1,0,0,-1,0,-1,1,0,1,0,0,0,0,0,-1,0,0,-1,0,0
2025-04-06 14:02:57.618187,0,0,0,0,1,0,0,-1,1,1,1,0,0,0,0,-1,0,-1,0,-1,0,0,1,0,0,0,0,1,1,0,0,0,-1,0,0,0,0,0,1,1,-1,0,1,-1,0,0,1,0,1,-1,-1,0,0,0,0,0,1,-1,0,0,0,0,0,1,-1,-1,0,0,-1,0,-1,1,0,1,0,0,0,0,0,-1,0,0,-1,0,0
