symbol,timestamp,action,old_size,new_size,price,old_value,new_value
BNB-USDT-SWAP,2025-03-03 22:02:40.545100,rebalance,2.4,0.01,573.1,1375.44,5.731000000000001
KSM-USDT-SWAP,2025-03-03 22:02:40.545100,rebalance,72.0,78.4,17.95,1292.3999999999999,1407.28
LUNC-USDT-SWAP,2025-03-03 22:52:40.830200,rebalance,-21890000.0,-80000.0,6.446e-05,-1411.0294000000001,-5.1568000000000005
YFI-USDT-SWAP,2025-03-03 22:52:40.830200,rebalance,-0.0001,-0.2592,5435.0,-0.5435,-1408.752
METIS-USDT-SWAP,2025-03-04 01:50:41.146500,open,0.0,67.0,19.6,0.0,1313.2
ZK-USDT-SWAP,2025-03-04 01:50:41.146500,close,16090.0,0.0,0.0831,1337.079,0.0
1INCH-USDT-SWAP,2025-03-04 02:10:41.877400,rebalance,6315.0,11.0,0.2155,1360.8825,2.3705
ENS-USDT-SWAP,2025-03-04 02:10:41.877400,rebalance,0.1,71.8,19.155,1.9155000000000002,1375.329
DOT-USDT-SWAP,2025-03-04 05:22:50.236400,rebalance,-315.0,-2.0,4.305,-1356.0749999999998,-8.61
NEAR-USDT-SWAP,2025-03-04 05:22:50.236400,rebalance,-448.0,-489.0,2.841,-1272.768,-1389.249
GAS-USDT-SWAP,2025-03-04 05:22:50.236400,close,1.0,0.0,3.101,3.101,0.0
GAS-USDT-SWAP,2025-03-04 05:22:50.236400,open,0.0,-452.0,3.101,0.0,-1401.652
BCH-USDT-SWAP,2025-03-04 05:22:50.236400,rebalance,-4.2,-4.57,308.4,-1295.28,-1409.388
APT-USDT-SWAP,2025-03-04 05:22:50.236400,rebalance,-236.0,-257.0,5.4946,-1296.7256,-1412.1122
ID-USDT-SWAP,2025-03-04 05:22:50.236400,rebalance,5520.0,6020.0,0.234,1291.68,1408.68
MANA-USDT-SWAP,2025-03-04 08:58:46.769900,close,5170.0,0.0,0.2656,1373.152,0.0
THETA-USDT-SWAP,2025-03-04 08:58:46.769900,open,0.0,1355.0,1.031,0.0,1397.0049999999999
STX-USDT-SWAP,2025-03-04 08:58:46.769900,rebalance,1887.0,2054.0,0.6841,1290.8967,1405.1414
CHZ-USDT-SWAP,2025-03-04 09:24:46.583600,rebalance,-60.0,-29970.0,0.04605,-2.763,-1380.1185
CELO-USDT-SWAP,2025-03-04 09:24:46.583600,rebalance,-3654.0,-6.0,0.352,-1286.2079999999999,-2.112
RON-USDT-SWAP,2025-03-04 09:54:51.807300,open,0.0,-1560.0,0.902,0.0,-1407.1200000000001
CRO-USDT-SWAP,2025-03-04 09:54:51.807300,rebalance,-18650.0,-50.0,0.07177,-1338.5105,-3.5885
EOS-USDT-SWAP,2025-03-04 14:02:53.531000,rebalance,-2430.0,-2640.0,0.5197,-1262.871,-1372.008
SHIB-USDT-SWAP,2025-03-04 14:02:53.531000,rebalance,105500000.0,200000.0,1.257e-05,1326.135,2.514
METIS-USDT-SWAP,2025-03-04 14:02:53.531000,rebalance,67.0,74.4,18.78,1258.26,1397.2320000000002
UNI-USDT-SWAP,2025-03-04 14:02:53.531000,rebalance,1.0,207.0,6.69,6.69,1384.8300000000002
CFX-USDT-SWAP,2025-03-04 14:02:53.531000,rebalance,13560.0,14850.0,0.0947,1284.132,1406.295
GMX-USDT-SWAP,2025-03-04 14:02:53.531000,rebalance,86.80000000000001,95.30000000000001,14.69,1275.092,1399.957
ZETA-USDT-SWAP,2025-03-04 14:02:53.531000,rebalance,5380.0,5940.0,0.2329,1253.002,1383.426
MINA-USDT-SWAP,2025-03-04 14:02:53.531000,rebalance,4653.0,5120.0,0.2737,1273.5261,1401.344
RON-USDT-SWAP,2025-03-04 14:26:52.549300,rebalance,-1560.0,-10.0,0.868,-1354.08,-8.68
MANA-USDT-SWAP,2025-03-04 14:26:52.549300,open,0.0,-5270.0,0.2676,0.0,-1410.252
NEAR-USDT-SWAP,2025-03-04 14:38:46.633900,rebalance,-489.0,-240.0,2.814,-1376.046,-675.36
LRC-USDT-SWAP,2025-03-04 14:38:46.633900,rebalance,-60.0,-5350.0,0.1118,-6.708,-598.13
GAS-USDT-SWAP,2025-03-04 15:42:52.579600,close,-452.0,0.0,3.034,-1371.368,0.0
NEAR-USDT-SWAP,2025-03-04 15:42:52.579600,rebalance,-240.0,-2.0,2.73,-655.2,-5.46
ZIL-USDT-SWAP,2025-03-04 15:42:52.579600,rebalance,-300.0,-110500.0,0.01245,-3.735,-1375.725
LRC-USDT-SWAP,2025-03-04 15:42:52.579600,rebalance,-5350.0,-12910.0,0.1099,-587.965,-1418.809
ZK-USDT-SWAP,2025-03-04 16:30:00.000000,open,0.0,17360.0,0.0771,0.0,1338.4560000000001
ENS-USDT-SWAP,2025-03-04 16:30:00.000000,open,0.0,-0.2,19.185,0.0,-3.8369999999999997
ENS-USDT-SWAP,2025-03-04 16:30:00.000000,close,71.8,0.0,19.185,1377.483,0.0
BICO-USDT-SWAP,2025-03-04 20:00:50.486800,rebalance,4.0,11077.0,0.1352,0.5408,1497.6103999999998
ADA-USDT-SWAP,2025-03-04 20:00:50.486800,rebalance,-1689.9999999999998,-1520.0,0.9337,-1577.9529999999997,-1419.224
STORJ-USDT-SWAP,2025-03-04 20:00:50.486800,close,4580.0,0.0,0.3002,1374.9160000000002,0.0
GMX-USDT-SWAP,2025-03-04 20:00:50.486800,rebalance,95.30000000000001,88.0,16.03,1527.6590000000003,1410.64
FLOW-USDT-SWAP,2025-03-04 21:28:50.809400,open,0.0,3210.0,0.441,0.0,1415.61
STX-USDT-SWAP,2025-03-04 21:28:50.809400,rebalance,2054.0,6.0,0.7139,1466.3506,4.2834
ZIL-USDT-SWAP,2025-03-04 21:56:45.095000,rebalance,-110500.0,-100.0,0.01275,-1408.875,-1.275
CELO-USDT-SWAP,2025-03-04 21:56:45.095000,rebalance,-6.0,-3776.0,0.3713,-2.2278000000000002,-1402.0288
APT-USDT-SWAP,2025-03-04 22:44:53.245300,rebalance,-257.0,-1.0,5.4816,-1408.7712000000001,-5.4816
ETHW-USDT-SWAP,2025-03-04 22:44:53.245300,open,0.0,-836.7,1.673,0.0,-1399.7991000000002
AVAX-USDT-SWAP,2025-03-04 23:02:46.381600,close,-0.2,0.0,20.029,-4.0058,0.0
ZRX-USDT-SWAP,2025-03-04 23:02:46.381600,rebalance,5100.0,10.0,0.2726,1390.26,2.726
AVAX-USDT-SWAP,2025-03-04 23:02:46.381600,open,0.0,70.4,20.029,0.0,1410.0416
ATH-USDT-SWAP,2025-03-05 00:00:51.828000,open,0.0,-38600.0,0.03642,0.0,-1405.8120000000001
EOS-USDT-SWAP,2025-03-05 00:00:51.828000,rebalance,-2640.0,-10.0,0.5329,-1406.856,-5.329000000000001
ETH-USDT-SWAP,2025-03-05 01:30:51.388500,close,0.002,0.0,2179.31,4.35862,0.0
ETH-USDT-SWAP,2025-03-05 01:30:51.388500,open,0.0,-0.65,2179.31,0.0,-1416.5515
LRC-USDT-SWAP,2025-03-05 01:30:51.388500,rebalance,-12910.0,-30.0,0.1113,-1436.883,-3.339
